event,username,day,month,year,hour,minute,second
disconnected,DiegoPlusUltra,29,3,2024,5,15,43
disconnected,Altoemilius,29,3,2024,5,15,44
connected,DiegoPlusUltra,30,3,2024,3,45,9
connected,Altoemilius,30,3,2024,3,45,23
disconnected,Altoemilius,30,3,2024,6,50,59
disconnected,DiegoPlusUltra,30,3,2024,6,51,1
connected,Altoemilius,30,3,2024,6,51,1
disconnected,Altoemilius,30,3,2024,6,51,5
connected,DiegoPlusUltra,1,4,2024,2,15,40
connected,Altoemilius,1,4,2024,2,16,19
connected,Saborcito,1,4,2024,2,33,49
connected,fabimontans,1,4,2024,3,21,13
disconnected,Altoemilius,1,4,2024,4,26,38
disconnected,DiegoPlusUltra,1,4,2024,4,26,39
disconnected,Saborcito,1,4,2024,4,26,39
disconnected,fabimontans,1,4,2024,4,26,39
connected,Saborcito,2,4,2024,2,37,53
disconnected,Saborcito,2,4,2024,2,49,21
connected,Saborcito,2,4,2024,2,49,21
connected,Altoemilius,2,4,2024,2,49,28
connected,fabimontans,2,4,2024,2,50,29
connected,DiegoPlusUltra,2,4,2024,3,6,29
disconnected,Altoemilius,2,4,2024,4,33,27
disconnected,fabimontans,2,4,2024,4,33,27
disconnected,Saborcito,2,4,2024,4,33,27
disconnected,DiegoPlusUltra,2,4,2024,4,33,28
connected,Saborcito,3,4,2024,2,36,38
connected,Altoemilius,3,4,2024,2,38,49
connected,fabimontans,3,4,2024,2,40,56
connected,DiegoPlusUltra,3,4,2024,3,8,52
disconnected,DiegoPlusUltra,3,4,2024,4,21,53
disconnected,fabimontans,3,4,2024,4,35,29
disconnected,Saborcito,3,4,2024,4,35,29
disconnected,Altoemilius,3,4,2024,4,35,30
connected,fabimontans,4,4,2024,2,32,22
connected,Saborcito,4,4,2024,2,37,13
connected,Altoemilius,4,4,2024,2,37,15
connected,DiegoPlusUltra,4,4,2024,2,59,48
disconnected,fabimontans,4,4,2024,4,46,48
disconnected,Altoemilius,4,4,2024,4,46,49
disconnected,Saborcito,4,4,2024,4,46,50
